STEPTYPE,DESIGN_ID,STEP,MFG_WORKWEEK,MOD_CUSTOM_TEST_FLOW,ADJ_ROW_SHORT_LOCAL,BLOB_FAIL,BOOT,COL_FUSE,DB,DB_SAMEDQ,DB_SAMEROW,DIGIT,DOUBLE_SECTION_PERIPH,FOUR_ROW_SHORT,FOUR_ROW_SHORT_LOCAL,GLOBAL_COLUMN_SELECT,HALF_BANK,HANG,HGDC,LOCAL_DQ,MOD_PERIPH,MULTI_BANK_2DIGIT,MULTI_BANK_2ROW,MULTI_BANK_BA1_SINGLE_DQ,MULTI_BANK_DSA_MULTI_DQ,MULTI_BANK_MULTI_DQ,MULTI_BANK_SINGLE_DQ,MULTI_HALFBANK_MULTI_DQ,MULTI_HALFBANK_SINGLE_DQ,NICKEDFUSE,NOFA,QUAD_SECTION_2CP,QUAD_SECTION_PERIPH,QUINT_SECTION_2CP,QUINT_SECTION_PERIPH,ROW,ROW_AND_DIGIT,ROW_LOCAL,ROW_LOCAL_SWL_ARM,ROW_SWL_TO_DIG_INT,SB,SB_MODSYS,SECTION_FAIL_PERIPH,SECTION_TWO_PREFETCH,SECTION_TWO_ROW,SECTION_TWO_ROW_2CP,SG_DIG_SHORT,SINGLE_BANK,SINGLE_BANK_1CP,SINGLE_BANK_2CP,SINGLE_BURST,SINGLE_BURST_SINGLE_ROW,SYS_EVEN_BURST_BIT,SYS_ODD_BURST_BIT,TFF,THREE_ROW_SHORT,THREE_ROW_SHORT_LOCAL,TRAIN,TRIPLE_SECTION_2CP,TRIPLE_SECTION_PERIPH,TWO_ROW_LOCAL_SHORT,TWO_ROW_SHORT,UNKNOWN,ALL(DPM),ALL,UIN
SLT,Y6CP,HMB1,202613.0,-,0.0,0.0,0.0,1.9,9.1,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,10.3,55.2,0.0,0.0,0.0,0.9,0.0,0.0,112.1,6.0,3.8,11.3,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,8.4,5.6,3.8,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,63.2,10.3,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,84.7,266515.8
SLT,Y6CP,HMB1,202614.0,-,0.0,0.0,6.6,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,65.2,0.0,0.0,0.0,0.9,0.0,0.0,87.5,1.8,0.1,17.7,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,10.0,4.2,3.4,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,49.9,19.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.8,92.3,300844.5
SLT,Y6CP,QMON,202605.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,134.9,0.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,20.0,120448.0
SLT,Y6CP,QMON,202606.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,6.0,0.0,0.0,133.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.3,32.0,167233.0
SLT,Y6CP,QMON,202607.0,-,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.1,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.9,32.0,185080.0
SLT,Y6CP,QMON,202608.0,-,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.6,0.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.4,30.0,151192.0
SLT,Y6CP,QMON,202609.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,1.0,32966.0
SLT,Y6CP,QMON,202610.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,0.0,0.0,0.0,5.6,0.0,0.0,82.1,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,43.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,170.7,47.0,275335.0
SLT,Y6CP,QMON,202611.0,-,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,86.8,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,36.0,200026.0
SLT,Y6CP,QMON,202612.0,-,0.0,0.0,0.0,0.0,2.2,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,11.7,0.0,0.0,145.0,0.1,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,4.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,4.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,52.0,228117.0
SLT,Y6CP,QMON,202613.0,-,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,105.4,0.0,0.7,10.1,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.7,12.2,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,22.3,6.1,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,202.7,50.0,246640.0
SLT,Y6CP,QMON,202614.0,-,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,25.6,6.4,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.3,28.0,156200.0
Total,,,,,0.0,0.2,0.5,0.4,4.9,0.5,0.4,0.1,0.2,0.1,0.0,0.0,0.3,4.9,14.6,0.1,0.2,0.2,2.2,0.0,0.2,75.1,5.1,7.9,15.9,0.8,5.5,0.0,0.0,0.1,0.1,1.9,0.0,0.2,0.3,0.0,11.9,0.8,1.3,0.2,1.0,0.4,0.2,0.8,0.1,0.2,0.0,30.7,4.9,1.6,119.9,0.1,0.1,0.0,0.0,0.1,0.5,0.3,0.3,318.0,1883.6,5923425.8
